Train Set Size,Mean Accuracy,Max Accuracy,Min Accuracy,Mean Tree Size,Max Tree Size,Min Tree Size
0.3,0.9671428571428571,0.9857142857142858,0.9357142857142857,13.0,17,11
0.4,0.9666666666666666,0.9833333333333333,0.9416666666666667,13.8,17,11
0.5,0.976,0.99,0.96,13.4,15,11
0.6000000000000001,0.9800000000000001,0.9875,0.975,13.4,15,11
0.7000000000000002,0.9766666666666668,1.0,0.9666666666666667,13.4,15,11
